City_ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
397,9.4515,18.9449,78.42,10,94,5.23,TD,1675974701
398,-29.6643,17.8865,71.42,44,0,4.68,ZA,1675974701
399,29.8167,31.05,53.2,51,73,7.61,EG,1675974702
400,39.05,-27.9833,56.48,57,98,10.83,PT,1675974702
401,54.0359,19.0266,33.04,66,100,14.54,PL,1675974702
402,18.0167,-102.2167,85.73,42,55,10.6,MX,1675974703
403,68.5333,146.4167,-41.04,100,98,4.5,RU,1675974703
404,32.3502,-85.1999,72.68,77,20,3.44,US,1675974178
405,-21.1333,164.9,77.04,90,100,3.02,NC,1675974704
406,-19.9833,23.4167,68.5,88,100,3.94,BW,1675974500
407,44.2619,-88.4154,38.05,87,100,10.36,US,1675974470
408,5.7833,36.5667,73.29,34,70,3.04,ET,1675974705
409,27.181,31.1837,56.08,28,100,4.92,EG,1675974609
410,27.5167,88.5333,55.31,86,94,2.75,IN,1675974705
411,-33.8667,121.9,60.87,84,7,7.76,AU,1675974706
412,55.3422,-131.6461,46.38,98,100,11.34,US,1675974643
413,-8.8978,-35.1478,79.5,80,63,8.28,BR,1675974706
414,70.3705,31.1107,26.58,80,33,23.02,NO,1675974707
415,36.5154,-4.8858,56.25,79,98,17.9,ES,1675974707
416,47.0794,29.8514,25.47,44,3,1.34,UA,1675974767
417,14.8333,104.3333,81.88,63,30,3.49,TH,1675974768
418,-34.6667,-54.9167,88.99,39,0,11.72,UY,1675974412
419,-3.4833,23.4333,73.44,69,56,1.66,CD,1675974768
420,48.4669,-81.3331,24.62,93,100,5.75,CA,1675974606
421,54.16,41.1169,19.65,96,100,5.93,RU,1675974769
422,64.2539,-15.2082,25.7,46,100,6.31,IS,1675974769
423,-28.783,32.0377,72.5,92,100,6.62,ZA,1675974770
424,25.35,82.4667,55.87,46,0,0.72,IN,1675974770
